Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
06:58:41.245,17,,,,,,,,,
06:58:41.335,17,96.0,,,,,,,,
06:58:41.396,17,96.0,0.0,,,,,,,
06:58:41.485,17,96.0,0.0,0.0,,,,,,
06:58:41.547,17,96.0,0.0,0.0,11.0,,,,,
06:58:41.635,17,96.0,0.0,0.0,11.0,0.88,,,,
06:58:41.697,17,96.0,0.0,0.0,11.0,0.88,89.0,,,
06:58:41.787,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,,
06:58:41.846,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,
06:58:41.935,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.026,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.087,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.146,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.236,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.296,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.385,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.447,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.535,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.626,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.716,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.777,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.866,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:42.955,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.045,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.137,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.196,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.286,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.376,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.436,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.496,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.587,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.676,17,96.0,0.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.766,17,96.0,180.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.855,17,96.0,180.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:43.945,17,96.0,180.0,0.0,11.0,0.88,89.0,16.0,14.1,14.5
06:58:44.035,17,96.0,180.0,0.0,11.0,12.02,89.0,16.0,14.1,14.5
06:58:44.096,17,96.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.186,17,96.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.246,17,96.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.335,17,96.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.396,17,96.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.485,17,94.0,180.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.546,17,94.0,1010.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.635,17,94.0,1010.0,0.0,11.0,12.02,83.9,16.0,14.1,14.5
06:58:44.696,17,94.0,1010.0,0.0,15.0,12.02,83.9,16.0,14.1,14.5
06:58:44.785,17,94.0,1010.0,0.0,15.0,16.91,83.9,16.0,14.1,14.5
06:58:44.846,17,94.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:44.935,17,94.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:44.996,17,94.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.085,17,94.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.146,17,94.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.236,17,95.0,1010.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.296,17,95.0,948.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.385,17,95.0,948.0,0.0,15.0,16.91,83.1,16.0,14.1,14.5
06:58:45.446,17,95.0,948.0,0.0,28.0,16.91,83.1,16.0,14.1,14.5
06:58:45.535,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.626,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.686,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.747,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.835,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.926,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:45.987,17,95.0,948.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:46.047,17,95.0,925.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:46.135,17,95.0,925.0,0.0,28.0,16.3,83.1,16.0,14.1,14.5
06:58:46.225,17,95.0,925.0,0.0,27.0,16.3,83.1,16.0,14.1,14.5
06:58:46.316,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.406,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.496,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.585,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.676,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.766,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.827,17,95.0,925.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:46.916,17,95.0,904.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:47.005,17,95.0,904.0,0.0,27.0,15.27,83.1,16.0,14.1,14.5
06:58:47.095,17,95.0,904.0,0.0,26.0,15.27,83.1,16.0,14.1,14.5
06:58:47.185,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.246,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.335,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.426,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.486,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.576,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.666,17,95.0,904.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.756,17,95.0,883.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.846,17,95.0,883.0,0.0,26.0,14.88,83.1,16.0,14.1,14.5
06:58:47.935,17,95.0,883.0,0.0,25.0,14.88,83.1,16.0,14.1,14.5
06:58:47.997,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.087,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.176,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.266,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.356,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.445,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.535,17,95.0,883.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.597,17,95.0,896.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.685,17,95.0,896.0,0.0,25.0,14.58,83.1,16.0,14.1,14.5
06:58:48.776,17,95.0,896.0,0.0,24.0,14.58,83.1,16.0,14.1,14.5
06:58:48.866,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:48.956,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.045,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.135,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.196,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.285,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
06:58:49.376,17,95.0,896.0,0.0,24.0,14.72,83.1,16.0,14.1,14.5
