Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
16:45:10.158,21,,,,,,,,,
16:45:10.249,21,100.0,,,,,,,,
16:45:10.340,21,100.0,890.0,,,,,,,
16:45:10.428,21,100.0,890.0,0.0,,,,,,
16:45:10.518,21,100.0,890.0,0.0,19.0,,,,,
16:45:10.609,21,100.0,890.0,0.0,19.0,10.38,,,,
16:45:10.700,21,100.0,890.0,0.0,19.0,10.38,83.1,,,
16:45:10.790,21,100.0,890.0,0.0,19.0,10.38,83.1,11.0,,
16:45:10.879,21,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,
16:45:10.968,21,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,14.5
16:45:11.059,20,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,14.5
16:45:11.148,20,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,14.5
16:45:11.239,20,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,14.5
16:45:11.329,20,100.0,890.0,0.0,19.0,10.38,83.1,11.0,14.1,14.5
16:45:11.418,20,100.0,890.0,0.0,18.0,10.38,83.1,11.0,14.1,14.5
16:45:11.509,20,100.0,890.0,0.0,18.0,10.3,83.1,11.0,14.1,14.5
16:45:11.599,20,100.0,890.0,0.0,18.0,10.3,83.1,11.0,14.1,14.5
16:45:11.689,20,100.0,890.0,0.0,18.0,10.3,83.1,11.0,14.1,14.5
16:45:11.908,20,100.0,890.0,0.0,18.0,10.3,83.1,11.0,14.1,14.5
16:46:32.239,20,100.0,890.0,0.0,18.0,0.0,83.1,11.0,14.1,14.5
16:46:32.359,20,100.0,890.0,0.0,18.0,0.0,88.6,11.0,14.1,14.5
16:46:32.479,20,100.0,890.0,0.0,18.0,0.0,88.6,11.0,14.1,14.5
16:46:32.570,20,100.0,890.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:32.659,20,100.0,890.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:32.749,24,100.0,890.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:32.839,24,148.0,890.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:32.900,24,148.0,1063.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:32.989,24,148.0,1063.0,0.0,18.0,0.0,88.6,11.0,14.5,14.5
16:46:33.079,24,148.0,1063.0,0.0,46.0,0.0,88.6,11.0,14.5,14.5
16:46:33.169,24,148.0,1063.0,0.0,46.0,15.16,88.6,11.0,14.5,14.5
16:46:33.260,24,148.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.5,14.5
16:46:33.349,24,148.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.5,14.5
16:46:33.439,24,148.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.529,24,148.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.619,24,148.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.709,24,97.0,1063.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.799,24,97.0,951.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.889,24,97.0,951.0,0.0,46.0,15.16,83.1,11.0,14.1,14.5
16:46:33.980,24,97.0,951.0,0.0,45.0,15.16,83.1,11.0,14.1,14.5
16:46:34.069,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.159,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.249,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.369,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.460,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.549,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.639,24,97.0,951.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.730,24,97.0,899.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.819,24,97.0,899.0,0.0,45.0,10.16,83.1,11.0,14.1,14.5
16:46:34.909,24,97.0,899.0,0.0,31.0,10.16,83.1,11.0,14.1,14.5
16:46:34.999,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.089,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.179,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.269,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.359,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.450,24,97.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.539,24,98.0,899.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.600,24,98.0,876.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.689,24,98.0,876.0,0.0,31.0,9.72,83.1,11.0,14.1,14.5
16:46:35.779,24,98.0,876.0,0.0,23.0,9.72,83.1,11.0,14.1,14.5
16:46:35.869,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:35.959,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.050,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.139,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.229,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.319,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.410,24,98.0,876.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.499,24,98.0,859.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.589,24,98.0,859.0,0.0,23.0,9.77,83.1,11.0,14.1,14.5
16:46:36.679,24,98.0,859.0,0.0,18.0,9.77,83.1,11.0,14.1,14.5
16:46:36.769,24,98.0,859.0,0.0,18.0,9.72,83.1,11.0,14.1,14.5
16:46:36.860,24,98.0,859.0,0.0,18.0,9.72,83.1,11.0,14.1,14.5
