code,manufacturer,description_ko,description_en,summary_ko,summary_en,tts_phrase
P1106,ACURA,대기압 센서 회로 범위/성능 이상이 발생했습니다.,BARO Circuit Range Performance Malfunction,대기압 센서 이상,BARO Circuit Range Performance Malfunction,운전 중 대기압 센서의 범위와 성능이 정상 범위를 벗어났습니다. 안전을 위해 차량 점검이 필요합니다.
P1107,ACURA,대기압 센서 회로 입력값이 낮음,BARO Circuit Low Input,입력값 낮음,BARO Circuit Low Input,대기압 센서의 입력값이 너무 낮습니다.
P1108,ACURA,대기압 센서 회로 입력값이 높음,BARO Circuit High Input,입력값 이상,BARO Circuit High Input,대기압 센서의 회로 입력 값이 너무 높습니다.
P1121,ACURA,스로틀 위치가 예상보다 낮습니다,Throttle Position Lower Than Expected,스로틀 낮음,Throttle Position Lower Than Expected,스로틀 위치가 정상 범위보다 낮게 나타났어요. 주의하시기 바랍니다.
P1122,ACURA,스로틀 위치가 예상보다 높음,Throttle Position Higher Than Expected,높음,Throttle Position Higher Than Expected,스로틀의 위치가 예상보다 높게 나타났습니다.
P1128,ACURA,MAP 센서 값이 예상보다 낮습니다.,MAP Lower Than Expected,MAP 낮음,MAP Lower Than Expected,"MAP 센서의 값을 확인하세요, 예상보다 낮은 상태입니다."
P1129,ACURA,MAP 센서의 출력이 예상보다 높습니다.,MAP Higher Than Expected,MAP 이상,MAP Higher Than Expected,MAP 센서 값이 너무 높게 나왔습니다.
P1162,ACURA,뱅크 1의 센서 1 회로 결함이 감지되었습니다.,HO2S11 Circuit Fault Bank 1 Sensor 1,센서 결함,HO2S11 Circuit Fault Bank 1 Sensor 1,뱅크 1 센서 1의 산소 센서 회로에센서 문제가 발생했습니다.
P1163,ACURA,뱅크 1의 센서 1이 느린 응답입니다.,HO2S11 Slow Response Bank 1 Sensor 1,센서 1 느림,HO2S11 Slow Response Bank 1 Sensor 1,뱅크 1에센서 센서 1이 느리게 반응하고 있습니다.
P1164,ACURA,뱅크 1의 센서 1번 가열식 산소 센서 회로 결함이 발생했습니다.,HO2S11 Circuit Fault Bank 1 Sensor 1,HO2S11 결함,HO2S11 Circuit Fault Bank 1 Sensor 1,뱅크 1의 센서 1번 가열식 산소 센서가 이상을 보입니다. 주의하세요.
P1165,ACURA,뱅크 1의 센서 1이 느린 응답입니다.,HO2S11 Slow Response Bank 1 Sensor 1,느린 응답,HO2S11 Slow Response Bank 1 Sensor 1,뱅크 1의 산소 센서 1이 너무 느리게 반응하고 있습니다.
