metric_name,value,data_condition,calculation,source
policy_threshold,0.795981228351593,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
policy_k_consecutive,2,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
policy_cooldown_sec,60,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
policy_warning,0.7,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
policy_critical,0.85,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
gating_ae_min_coverage,0.8,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
gating_ae_max_gap,3,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
gating_both_min_coverage,0.6,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
gating_w_coverage_c0,0.6,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
gating_w_coverage_c1,0.95,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
ae_score_error_min,0.20534303784370422,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
ae_score_error_max,4.375852990150459,vfinal operation policy,fixed value,ai/app/services/obd_anomaly/models/artifacts/v1/threshold_policy.json
hybrid_q50,0.256836,val normal policy eval,np.quantile(scores,0.5),ai/app/services/obd_anomaly/offline/datasets/vfinal/policy_report.md
hybrid_q90,0.433243,val normal policy eval,np.quantile(scores,0.9),ai/app/services/obd_anomaly/offline/datasets/vfinal/policy_report.md
hybrid_q95,0.632952,val normal policy eval,np.quantile(scores,0.95),ai/app/services/obd_anomaly/offline/datasets/vfinal/policy_report.md
hybrid_q99,0.795981,val normal policy eval,np.quantile(scores,0.99),ai/app/services/obd_anomaly/offline/datasets/vfinal/policy_report.md
alarms_per_hour,0.226986,val normal policy eval,policy simulation events/hour,ai/app/services/obd_anomaly/offline/datasets/vfinal/policy_report.md
if_windows,6332,if train report,reported count,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
if_features,42,if train report,reported count,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
if_q50,0.41828445767538397,if train report,quantile of IF score,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
if_q90,0.5029150469170065,if train report,quantile of IF score,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
if_q95,0.5439460241256392,if train report,quantile of IF score,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
if_q99,0.595616468781157,if train report,quantile of IF score,ai/app/services/obd_anomaly/offline/datasets/vfinal/iforest_report.json
lstm_windows,6332,lstm train report,reported count,ai/app/services/obd_anomaly/offline/datasets/vfinal/lstm_ae_report.json
lstm_features,7,lstm train report,reported count,ai/app/services/obd_anomaly/offline/datasets/vfinal/lstm_ae_report.json
lstm_epochs,10,lstm train report,reported count,ai/app/services/obd_anomaly/offline/datasets/vfinal/lstm_ae_report.json
lstm_final_loss,0.36000039217749025,lstm train report,last epoch mse,ai/app/services/obd_anomaly/offline/datasets/vfinal/lstm_ae_report.json
synthetic_baseline_precision,0.35714285714285715,val_synthetic sample-level,TP/(TP+FP),ai/app/services/obd_anomaly/offline/datasets/vfinal/synthetic_eval.json
synthetic_baseline_recall,0.8333333333333334,val_synthetic sample-level,TP/(TP+FN),ai/app/services/obd_anomaly/offline/datasets/vfinal/synthetic_eval.json
