threshold,k_consecutive,cooldown_sec,precision,recall,f1,fpr,alarms_per_hour,tp,fp,tn,fn,mode
0.9,2,180,0.625,0.8333333333333334,0.7142857142857143,0.25,0.598391821978433,5,3,9,1,AE_ONLY
0.925,2,180,0.625,0.8333333333333334,0.7142857142857143,0.25,0.598391821978433,5,3,9,1,AE_ONLY
0.925,2,120,0.625,0.8333333333333334,0.7142857142857143,0.25,0.673190799725737,5,3,9,1,AE_ONLY
0.9,2,120,0.625,0.8333333333333334,0.7142857142857143,0.25,0.8227887552203453,5,3,9,1,AE_ONLY
0.925,2,60,0.625,0.8333333333333334,0.7142857142857143,0.25,0.8975877329676495,5,3,9,1,AE_ONLY
0.9,2,60,0.625,0.8333333333333334,0.7142857142857143,0.25,1.0471856884622577,5,3,9,1,AE_ONLY
0.925,2,30,0.625,0.8333333333333334,0.7142857142857143,0.25,1.196783643956866,5,3,9,1,AE_ONLY
0.9,2,30,0.625,0.8333333333333334,0.7142857142857143,0.25,1.4959795549460824,5,3,9,1,AE_ONLY
0.875,2,180,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,0.7479897774730412,5,4,8,1,AE_ONLY
0.825,2,180,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,0.8227887552203453,5,4,8,1,AE_ONLY
0.85,2,180,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,0.8227887552203453,5,4,8,1,AE_ONLY
0.875,2,120,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,0.9723867107149535,5,4,8,1,AE_ONLY
0.85,2,120,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.0471856884622577,5,4,8,1,AE_ONLY
0.825,2,120,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.1219846662095618,5,4,8,1,AE_ONLY
0.875,2,60,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.346381599451474,5,4,8,1,AE_ONLY
0.85,2,60,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.4211805771987782,5,4,8,1,AE_ONLY
0.825,2,60,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.4959795549460824,5,4,8,1,AE_ONLY
0.875,2,30,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,1.944773421429907,5,4,8,1,AE_ONLY
0.8,2,180,0.5454545454545454,1.0,0.7058823529411764,0.4166666666666667,0.9723867107149535,6,5,7,0,AE_ONLY
0.8,2,120,0.5454545454545454,1.0,0.7058823529411764,0.4166666666666667,1.2715826217041701,6,5,7,0,AE_ONLY
0.8,2,60,0.5454545454545454,1.0,0.7058823529411764,0.4166666666666667,1.7203764881879948,6,5,7,0,AE_ONLY
0.775,2,180,0.5,1.0,0.6666666666666666,0.5,1.0471856884622577,6,6,6,0,AE_ONLY
0.95,1,180,0.5,1.0,0.6666666666666666,0.5,1.346381599451474,6,6,6,0,AE_ONLY
0.775,2,120,0.5,1.0,0.6666666666666666,0.5,1.4211805771987782,6,6,6,0,AE_ONLY
0.95,1,120,0.5,1.0,0.6666666666666666,0.5,1.7203764881879948,6,6,6,0,AE_ONLY
0.775,2,60,0.5,1.0,0.6666666666666666,0.5,1.944773421429907,6,6,6,0,AE_ONLY
0.75,2,180,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.2715826217041701,6,7,5,0,AE_ONLY
0.725,2,180,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.346381599451474,6,7,5,0,AE_ONLY
0.7,2,180,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.4211805771987782,6,7,5,0,AE_ONLY
0.725,2,120,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.6455775104406907,6,7,5,0,AE_ONLY
0.75,2,120,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.6455775104406907,6,7,5,0,AE_ONLY
0.7,2,120,0.46153846153846156,1.0,0.631578947368421,0.5833333333333334,1.795175465935299,6,7,5,0,AE_ONLY
0.925,1,180,0.42857142857142855,1.0,0.6,0.6666666666666666,1.4959795549460824,6,8,4,0,AE_ONLY
0.925,1,120,0.42857142857142855,1.0,0.6,0.6666666666666666,1.869974443682603,6,8,4,0,AE_ONLY
0.85,1,180,0.4,1.0,0.5714285714285715,0.75,1.5707785326933865,6,9,3,0,AE_ONLY
0.875,1,180,0.4,1.0,0.5714285714285715,0.75,1.5707785326933865,6,9,3,0,AE_ONLY
0.9,1,180,0.4,1.0,0.5714285714285715,0.75,1.5707785326933865,6,9,3,0,AE_ONLY
0.8,1,180,0.4,1.0,0.5714285714285715,0.75,1.7203764881879948,6,9,3,0,AE_ONLY
0.825,1,180,0.4,1.0,0.5714285714285715,0.75,1.7203764881879948,6,9,3,0,AE_ONLY
0.725,1,180,0.4,1.0,0.5714285714285715,0.75,1.795175465935299,6,9,3,0,AE_ONLY
0.75,1,180,0.4,1.0,0.5714285714285715,0.75,1.795175465935299,6,9,3,0,AE_ONLY
0.775,1,180,0.4,1.0,0.5714285714285715,0.75,1.795175465935299,6,9,3,0,AE_ONLY
0.7,1,180,0.4,1.0,0.5714285714285715,0.75,1.944773421429907,6,9,3,0,AE_ONLY
0.9,1,120,0.4,1.0,0.5714285714285715,0.75,1.944773421429907,6,9,3,0,AE_ONLY
