rpm,speed,temp,load,voltage,map,maf,intake_temp,throttle,fuel_trim_short,fuel_trim_long,engine_runtime,dtcs
691,0,51.8,15,13.9,27,3.5,25,0,1,2,0,
695,0,52.3,17,14.0,29,3.8,27,0,3,-1,1,
699,0,52.9,17,14.2,31,4.1,29,0,-2,-1,1,
700,0,52.8,19,14.3,30,3.8,28,0,0,1,2,
704,0,53.4,19,14.1,32,3.7,26,0,0,1,2,
708,0,52.4,21,14.0,29,4.0,28,0,2,3,3,
709,0,52.4,15,14.1,28,3.7,27,0,2,-2,3,
713,0,53.0,17,14.3,30,4.0,29,0,-1,0,4,
717,0,53.5,17,14.0,32,3.9,27,0,-1,0,4,
718,0,53.5,19,14.2,31,3.6,26,0,1,2,5,
722,0,52.5,19,14.1,28,3.9,28,0,1,2,5,
724,0,52.6,20,14.2,28,3.9,28,0,2,-2,6,
728,0,53.2,16,13.9,30,3.6,26,0,-1,0,6,
732,0,53.7,16,14.1,32,3.9,28,0,-1,0,7,
733,0,53.7,18,14.2,31,4.2,27,0,1,2,7,
737,0,52.8,18,14.4,28,3.5,29,0,1,2,8,
741,0,53.3,20,13.9,30,3.8,27,0,3,-1,8,
742,0,53.2,20,14.0,29,4.1,26,0,-2,-1,9,
746,0,53.8,16,14.2,31,3.8,28,0,0,1,9,
750,0,54.4,16,14.3,33,3.7,30,0,0,1,10,
751,0,52.8,18,14.1,27,4.0,25,0,2,3,10,
755,0,53.3,18,14.0,29,3.7,27,0,2,-2,11,
757,0,53.5,19,14.1,29,3.7,27,0,-2,-1,11,
761,0,54.0,21,14.2,31,4.0,29,0,0,1,12,
765,0,54.6,15,14.0,33,3.7,27,0,0,1,12,
766,0,53.0,17,14.1,27,4.0,26,0,2,3,13,
770,0,53.6,17,14.3,29,3.9,28,0,2,-2,13,
774,0,54.1,19,14.2,31,3.6,30,0,-1,0,14,
775,0,54.1,19,13.9,30,3.9,25,0,-1,0,14,
779,0,54.7,21,14.1,32,4.2,27,0,1,2,15,
783,0,53.7,15,14.2,29,3.5,29,0,1,2,15,
784,0,53.6,17,14.4,28,3.8,28,0,3,-1,16,
788,0,54.2,17,13.9,30,4.1,26,0,-2,-1,16,
790,0,54.3,18,14.0,30,3.5,26,0,-1,0,17,
794,0,54.9,20,14.1,32,3.8,28,0,1,2,17,
798,0,53.9,20,14.3,29,4.1,30,0,1,2,18,
691,0,53.9,16,14.0,28,3.8,25,0,3,-1,18,
692,0,53.9,15,14.1,28,3.5,26,0,1,2,19,
696,0,54.4,17,14.0,30,3.8,28,0,3,-1,19,
697,0,54.4,17,14.1,29,4.1,27,0,-2,-1,20,
701,0,54.9,19,14.3,31,3.8,29,0,0,1,20,
705,0,55.4,19,14.0,33,3.7,27,0,0,1,21,
706,0,53.9,21,14.2,27,4.0,26,0,2,3,21,
710,0,54.4,15,14.1,29,3.7,28,0,2,-2,22,
712,0,54.6,16,14.2,29,3.7,28,0,-2,-1,22,
716,0,55.1,18,13.9,31,4.0,26,0,0,1,23,
720,0,55.7,18,14.1,33,3.7,28,0,0,1,23,
721,0,54.1,20,14.2,27,4.0,27,0,2,3,24,
725,0,54.7,20,14.4,29,3.9,29,0,2,-2,24,
729,0,55.2,16,13.9,31,3.6,27,0,-1,0,25,
730,0,55.2,16,14.0,30,3.9,26,0,-1,0,25,
734,0,55.8,18,14.2,32,4.2,28,0,1,2,26,
738,0,54.8,18,14.3,29,3.5,30,0,1,2,26,
739,0,54.7,20,14.1,28,3.8,25,0,3,-1,27,
743,0,55.3,20,14.0,30,4.1,27,0,-2,-1,27,
745,0,55.4,15,14.1,30,3.5,27,0,-1,0,28,
749,0,56.0,17,14.2,32,3.8,29,0,1,2,28,
753,0,55.0,17,14.0,29,4.1,27,0,1,2,29,
754,0,55.0,19,14.1,28,3.8,26,0,3,-1,29,
758,0,55.6,19,14.3,30,3.7,28,0,-2,-1,30,
762,0,56.1,21,14.2,32,4.0,30,0,0,1,30,
763,0,56.0,15,13.9,31,3.7,25,0,0,1,31,
767,0,55.1,17,14.1,28,4.0,27,0,2,3,31,
771,0,55.6,17,14.2,30,3.9,29,0,2,-2,32,
772,0,55.6,19,14.4,29,3.6,28,0,-1,0,32,
776,0,56.1,19,13.9,31,3.9,26,0,-1,0,33,
778,0,56.3,20,14.0,31,3.9,26,0,0,1,33,
782,0,55.4,16,14.1,28,3.6,28,0,2,3,34,
786,0,55.9,16,14.3,30,3.9,30,0,2,-2,34,
787,0,55.9,18,14.0,29,4.2,25,0,-1,0,35,
791,0,56.4,18,14.2,31,3.5,27,0,-1,0,35,
795,0,56.9,20,14.1,33,3.8,29,0,1,2,36,
796,0,55.4,20,14.2,27,4.1,28,0,1,2,36,
692,0,55.9,16,14.0,29,3.8,26,0,3,-1,37,
693,0,55.9,15,14.0,29,3.5,27,0,1,2,37,
694,0,55.8,17,14.2,28,3.8,26,0,3,-1,38,
698,0,56.4,17,14.1,30,4.1,28,0,-2,-1,38,
700,0,56.5,18,14.2,30,3.5,28,0,-1,0,39,
704,0,57.1,20,13.9,32,3.8,26,0,1,2,39,
708,0,56.1,20,14.1,29,4.1,28,0,1,2,40,
709,0,56.1,16,14.2,28,3.8,27,0,3,-1,40,
713,0,56.6,16,14.4,30,3.7,29,0,-2,-1,41,
717,0,57.2,18,13.9,32,4.0,27,0,0,1,41,
718,0,57.1,18,14.0,31,3.7,26,0,0,1,42,
722,0,56.2,20,14.2,28,4.0,28,0,2,3,42,
726,0,56.7,20,14.3,30,3.9,30,0,2,-2,43,
727,0,56.7,16,14.1,29,3.6,25,0,-1,0,43,
731,0,57.2,16,14.0,31,3.9,27,0,-1,0,44,
733,0,57.4,17,14.1,31,3.9,27,0,0,1,44,
737,0,56.5,19,14.2,28,3.6,29,0,2,3,45,
741,0,57.0,19,14.0,30,3.9,27,0,2,-2,45,
742,0,56.9,21,14.1,29,4.2,26,0,-1,0,46,
746,0,57.5,15,14.3,31,3.5,28,0,-1,0,46,
750,0,58.0,17,14.2,33,3.8,30,0,1,2,47,
751,0,56.5,17,13.9,27,4.1,25,0,1,2,47,
755,0,57.0,19,14.1,29,3.8,27,0,3,-1,48,
759,0,57.6,19,14.2,31,3.7,29,0,-2,-1,48,
760,0,57.5,21,14.4,30,4.0,28,0,0,1,49,
764,0,58.1,15,13.9,32,3.7,26,0,0,1,49,
766,0,56.8,16,14.0,27,3.7,26,0,1,2,50,
770,0,57.3,18,14.1,29,4.0,28,0,3,-1,50,
774,0,57.8,18,14.3,31,3.7,30,0,-2,-1,51,
775,0,57.8,20,14.0,30,4.0,25,0,0,1,51,
779,0,58.4,20,14.2,32,3.9,27,0,0,1,52,
783,0,57.4,16,14.1,29,3.6,29,0,2,3,52,
784,0,57.3,16,14.2,28,3.9,28,0,2,-2,53,
788,0,57.9,18,14.0,30,4.2,26,0,-1,0,53,
792,0,58.4,18,14.1,32,3.5,28,0,-1,0,54,
793,0,58.4,20,14.3,31,3.8,27,0,1,2,54,
797,0,57.5,20,14.2,28,4.1,29,0,1,2,55,
691,0,57.6,15,13.9,28,3.5,25,0,2,-2,55,
692,0,57.5,16,13.9,28,3.6,26,0,2,3,56,
696,0,58.1,16,14.1,30,3.9,28,0,2,-2,56,
697,0,58.0,18,14.2,29,4.2,27,0,-1,0,57,
701,0,58.6,18,14.4,31,3.5,29,0,-1,0,57,
705,0,59.1,20,13.9,33,3.8,27,0,1,2,58,
706,0,57.6,20,14.0,27,4.1,26,0,1,2,58,
710,0,58.1,16,14.2,29,3.8,28,0,3,-1,59,
714,0,58.7,16,14.3,31,3.7,30,0,-2,-1,59,
715,0,58.6,18,14.1,30,4.0,25,0,0,1,60,
719,0,59.2,18,14.0,32,3.7,27,0,0,1,60,
721,0,57.8,19,14.1,27,3.7,27,0,1,2,61,
725,0,58.4,21,14.2,29,4.0,29,0,3,-1,61,
729,0,58.9,15,14.0,31,3.7,27,0,-2,-1,62,
